"3 BHK Semifurnished Flat in Kadavanthra, 1555 sqft","3 BHK semifurnished flat 1555 sqft with all facilities in Kadavanthara. Good road access. 3/ 16 floors. Branded builder, 10 plus years. Servent bathroom available  Price: 86 Lakhs  700/7699",Kochi,Kadavanthra,3 Bds , 3 Ba , 1555 ft2,"₹ 86,00,000"
3bhk apartment for sale near panampilly nagar - Kochukadavanthra,3bhk apartment for sale near panampilly nagar - kochukadavanthra,Kochi,Panampilly Nagar,3 Bds , 3 Ba , 1300 ft2,"₹ 48,00,000"
"Prestige Neptune Courtyard in marin drive, 4 bedroom flat floor sale","Prestige Neptune Courtyard in marin drive,  4 bedroom and 4 bathroom, 2895 sq ft ,  9/16th floor  Brokers please excuse",Kochi,Marine Drive,4 Bds , 4 Ba , 2895 ft2,"₹ 2,75,00,000"
ABAD REFLECTION 4 BHK APARTMENT FOR SALE,An exclusive apartment project from ABAD Builders offering 20 swanky and spacious apartments with 2 units on each floor caters to a privileged,Kochi,Panampilly Nagar,4 Bds , 4 Ba , 2627 ft2,"₹ 2,45,00,000"
DLF RIVERSIDE FULLY WATERFRONT APARTMENT FOR SALE,Riverside. DLF Riverside is the ultimate in luxury river-view homes in Kerala. This dream project from DLF is span across more than 2.07 hectares,Kochi,Kadavanthara,3 Bds , 3 Ba , 2183 ft2,"₹ 1,59,00,000"
"Rds Aura in kadavanthra , 3 bedroom  flat for sale","A 3 bedroom  flat, located in kadavanthara, kochi, is available. It is an  semi-Furnished flat located in . Situated in a prominent locality. The flat is on 1st floor of the building. Aesthetically designed, this property has 3 bathroom(s). The property also has 1balcony(s). The flat has a good view of the locality. The flat is a freehold property and  has a carpet area of 2200 sq.Ft. The flat  offers good security. The unit has 1 covered parking and 1 open parking. brokers please excuse",Kochi,Kadavanthara,3 Bds , 3 Ba , 2200 ft2,"₹ 1,85,00,000"
2BHK APARTMENT FOR SALE ABAD IKEBANA PANAMPILLYNAGAR,"Ikebana, Premium 2/3 bedroom luxury apartments and flats in Panampilly Nagar, Kochi with exclusive facilities.",Kochi,Panampilly Nagar,2 Bds , 2 Ba , 1045 ft2,"₹ 88,00,000"
6 BHK WATERFRONT APARTMENT FOR SALE,"Tata Tritvam an exclusive gated, reliable, perfectly planned residential development. Book luxury ready to move in apartments at Tritvam kochi.3 & 4 Bhk modern homes",Kochi,Marine Drive,4+ Bds , 4+ Ba , 4500 ft2,"₹ 4,00,00,000"
URGENT SALE 4 BHK WATER VIEW FLAT,"TATA Tritvam is a world-class residency for luxury living in Kochi. Buy 3 BHK & 4 BHK homes with amenities like squash court, gym, cafe, yoga studio, etc.",Kochi,Marine Drive,4 Bds , 4 Ba , 2918 ft2,"₹ 3,00,00,000"
4 BHK WATER FRONT APARTMENT FOR SALE,Prestige Neptune's Courtyard is an exclusive community that offers ultra luxury homes for the very upper crust. Set amidst the vast backwaters of Kochi,Kochi,Marine Drive,4 Bds , 4 Ba , 2744 ft2,"₹ 2,80,00,000"
4 BHK WATERFORNT APARTMENT FOR SALE,Prestige Neptune's Courtyard is an exclusive community that offers ultra luxury homes for the very upper crust. Set amidst the vast backwaters of Kochi,Kochi,Marine Drive,4 Bds , 4 Ba , 4000 ft2,"₹ 4,10,00,000"
